lambda_per_day,total_demand,demand_ratio,high_balk,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
20,40,1.25,0.1,5,1.0,0.7979274611398963,11704,12960.0,3.1304199618216524,3.1304199618216524,0.0,14668,14668,14668,0,0,2964,0,0
20,40,1.25,0.1,6,1.0,0.8101607984474632,11689,12960.0,2.9802467424452455,2.9802467424452455,0.0,14428,14428,14428,0,0,2739,0,0
20,40,1.25,0.1,7,1.0,0.8052225437508612,11687,12960.0,3.169836020394102,3.169836020394102,0.0,14514,14514,14514,0,0,2827,0,0
20,40,1.25,0.1,8,1.0,0.802688728024819,11643,12960.0,3.1387107893829715,3.1387107893829715,0.0,14505,14505,14505,0,0,2862,0,0
20,40,1.25,0.1,9,1.0,0.7934131736526946,11660,12960.0,3.27742242787153,3.27742242787153,0.0,14696,14696,14696,0,0,3036,0,0
20,40,1.25,0.1,10,1.0,0.8056167400881057,11704,12960.0,3.18619218061674,3.18619218061674,0.0,14528,14528,14528,0,0,2824,0,0
20,40,1.25,0.1,11,1.0,0.8123915909248595,11709,12960.0,3.033372649691251,3.033372649691251,0.0,14413,14413,14413,0,0,2704,0,0
20,40,1.25,0.1,12,1.0,0.8072098152743314,11711,12957.0,3.095533498759305,3.095533498759305,0.0,14508,14508,14508,0,0,2797,0,0
20,40,1.25,0.1,13,1.0,0.802236246398683,11695,12960.0,3.140965838935382,3.140965838935382,0.0,14578,14578,14578,0,0,2883,0,0
20,40,1.25,0.1,14,1.0,0.7977773232426536,11701,12960.0,3.16097361423604,3.16097361423604,0.0,14667,14667,14667,0,0,2966,0,0
20,40,1.25,0.1,15,1.0,0.7959183673469388,11700,12960.0,3.1933333333333334,3.1933333333333334,0.0,14700,14700,14700,0,0,3000,0,0
20,40,1.25,0.1,16,1.0,0.7964770942855193,11666,12960.0,3.2989690721649483,3.2989690721649483,0.0,14647,14647,14647,0,0,2981,0,0
20,40,1.25,0.1,17,1.0,0.8117230363219669,11688,12960.0,2.9996527536634487,2.9996527536634487,0.0,14399,14399,14399,0,0,2711,0,0
20,40,1.25,0.1,18,1.0,0.8076020971302428,11707,12960.0,2.9528835540838854,2.9528835540838854,0.0,14496,14496,14496,0,0,2789,0,0
20,40,1.25,0.1,19,1.0,0.8011792129439188,11686,12957.0,3.1772932949403536,3.1772932949403536,0.0,14586,14586,14586,0,0,2900,0,0
20,40,1.25,0.1,20,1.0,0.7983210483210483,11697,12959.0,3.216147966147966,3.216147966147966,0.0,14652,14652,14652,0,0,2955,0,0
20,40,1.25,0.1,21,1.0,0.8074074074074075,11663,12960.0,3.1396330910349604,3.1396330910349604,0.0,14445,14445,14445,0,0,2782,0,0
20,40,1.25,0.1,22,1.0,0.7973147958835958,11699,12959.0,3.170858038574252,3.170858038574252,0.0,14673,14673,14673,0,0,2974,0,0
20,40,1.25,0.1,23,1.0,0.7979151052667439,11711,12960.0,3.2260679975471827,3.2260679975471827,0.0,14677,14677,14677,0,0,2966,0,0
20,40,1.25,0.1,24,1.0,0.8053580059379962,11664,12960.0,3.0327970724297453,3.0327970724297453,0.0,14483,14483,14483,0,0,2819,0,0
20,40,1.25,0.1,25,1.0,0.8019127562955828,11655,12959.0,3.1290078436768956,3.1290078436768956,0.0,14534,14534,14534,0,0,2879,0,0
20,40,1.25,0.1,26,1.0,0.7958795131570001,11705,12960.0,3.1402733392262188,3.1402733392262188,0.0,14707,14707,14707,0,0,3002,0,0
20,40,1.25,0.1,27,1.0,0.8116103048399417,11688,12960.0,3.0448579959725017,3.0448579959725017,0.0,14401,14401,14401,0,0,2713,0,0
20,40,1.25,0.1,28,1.0,0.8007938137275029,11702,12960.0,3.2253472935057825,3.2253472935057825,0.0,14613,14613,14613,0,0,2911,0,0
20,40,1.25,0.1,29,1.0,0.7895446880269814,11705,12958.0,3.215514333895447,3.215514333895447,0.0,14825,14825,14825,0,0,3120,0,0
20,40,1.25,0.1,30,1.0,0.8043732379839098,11698,12957.0,3.1735542872859797,3.1735542872859797,0.0,14543,14543,14543,0,0,2845,0,0
20,40,1.25,0.2,1,1.0,0.7908284224073697,11675,12960.0,3.2074104179367335,3.2074104179367335,0.0,14763,14763,14763,0,0,3088,0,0
20,40,1.25,0.2,2,1.0,0.7870133369257712,11684,12960.0,3.280749023305941,3.280749023305941,0.0,14846,14846,14846,0,0,3162,0,0
20,40,1.25,0.2,3,1.0,0.7905634758995248,11645,12960.0,3.180040733197556,3.180040733197556,0.0,14730,14730,14730,0,0,3085,0,0
20,40,1.25,0.2,4,1.0,0.8069074865572866,11705,12960.0,3.1743416517303187,3.1743416517303187,0.0,14506,14506,14506,0,0,2801,0,0
20,40,1.25,0.2,5,1.0,0.7979274611398963,11704,12960.0,3.1304199618216524,3.1304199618216524,0.0,14668,14668,14668,0,0,2964,0,0
20,40,1.25,0.2,6,1.0,0.8101607984474632,11689,12960.0,2.9802467424452455,2.9802467424452455,0.0,14428,14428,14428,0,0,2739,0,0
20,40,1.25,0.2,7,1.0,0.8052225437508612,11687,12960.0,3.169836020394102,3.169836020394102,0.0,14514,14514,14514,0,0,2827,0,0
20,40,1.25,0.2,8,1.0,0.802688728024819,11643,12960.0,3.1387107893829715,3.1387107893829715,0.0,14505,14505,14505,0,0,2862,0,0
20,40,1.25,0.2,9,1.0,0.7934131736526946,11660,12960.0,3.27742242787153,3.27742242787153,0.0,14696,14696,14696,0,0,3036,0,0
20,40,1.25,0.2,10,1.0,0.8056167400881057,11704,12960.0,3.18619218061674,3.18619218061674,0.0,14528,14528,14528,0,0,2824,0,0
20,40,1.25,0.2,11,1.0,0.8123915909248595,11709,12960.0,3.033372649691251,3.033372649691251,0.0,14413,14413,14413,0,0,2704,0,0
20,40,1.25,0.2,12,1.0,0.8072098152743314,11711,12957.0,3.095533498759305,3.095533498759305,0.0,14508,14508,14508,0,0,2797,0,0
20,40,1.25,0.2,13,1.0,0.802236246398683,11695,12960.0,3.140965838935382,3.140965838935382,0.0,14578,14578,14578,0,0,2883,0,0
20,40,1.25,0.2,14,1.0,0.7977773232426536,11701,12960.0,3.16097361423604,3.16097361423604,0.0,14667,14667,14667,0,0,2966,0,0
20,40,1.25,0.2,15,1.0,0.7959183673469388,11700,12960.0,3.1933333333333334,3.1933333333333334,0.0,14700,14700,14700,0,0,3000,0,0
20,40,1.25,0.2,16,1.0,0.7964770942855193,11666,12960.0,3.2989690721649483,3.2989690721649483,0.0,14647,14647,14647,0,0,2981,0,0
20,40,1.25,0.2,17,1.0,0.8117230363219669,11688,12960.0,2.9996527536634487,2.9996527536634487,0.0,14399,14399,14399,0,0,2711,0,0
20,40,1.25,0.2,18,1.0,0.8076020971302428,11707,12960.0,2.9528835540838854,2.9528835540838854,0.0,14496,14496,14496,0,0,2789,0,0
20,40,1.25,0.2,19,1.0,0.8011792129439188,11686,12957.0,3.1772932949403536,3.1772932949403536,0.0,14586,14586,14586,0,0,2900,0,0
20,40,1.25,0.2,20,1.0,0.7983210483210483,11697,12959.0,3.216147966147966,3.216147966147966,0.0,14652,14652,14652,0,0,2955,0,0
20,40,1.25,0.2,21,1.0,0.8074074074074075,11663,12960.0,3.1396330910349604,3.1396330910349604,0.0,14445,14445,14445,0,0,2782,0,0
20,40,1.25,0.2,22,1.0,0.7973147958835958,11699,12959.0,3.170858038574252,3.170858038574252,0.0,14673,14673,14673,0,0,2974,0,0
20,40,1.25,0.2,23,1.0,0.7979151052667439,11711,12960.0,3.2260679975471827,3.2260679975471827,0.0,14677,14677,14677,0,0,2966,0,0
20,40,1.25,0.2,24,1.0,0.8053580059379962,11664,12960.0,3.0327970724297453,3.0327970724297453,0.0,14483,14483,14483,0,0,2819,0,0
20,40,1.25,0.2,25,1.0,0.8019127562955828,11655,12959.0,3.1290078436768956,3.1290078436768956,0.0,14534,14534,14534,0,0,2879,0,0
20,40,1.25,0.2,26,1.0,0.7958795131570001,11705,12960.0,3.1402733392262188,3.1402733392262188,0.0,14707,14707,14707,0,0,3002,0,0
20,40,1.25,0.2,27,1.0,0.8116103048399417,11688,12960.0,3.0448579959725017,3.0448579959725017,0.0,14401,14401,14401,0,0,2713,0,0
20,40,1.25,0.2,28,1.0,0.8007938137275029,11702,12960.0,3.2253472935057825,3.2253472935057825,0.0,14613,14613,14613,0,0,2911,0,0
20,40,1.25,0.2,29,1.0,0.7895446880269814,11705,12958.0,3.215514333895447,3.215514333895447,0.0,14825,14825,14825,0,0,3120,0,0
20,40,1.25,0.2,30,1.0,0.8043732379839098,11698,12957.0,3.1735542872859797,3.1735542872859797,0.0,14543,14543,14543,0,0,2845,0,0
20,40,1.25,0.3,1,1.0,0.7908284224073697,11675,12960.0,3.2074104179367335,3.2074104179367335,0.0,14763,14763,14763,0,0,3088,0,0
20,40,1.25,0.3,2,1.0,0.7870133369257712,11684,12960.0,3.280749023305941,3.280749023305941,0.0,14846,14846,14846,0,0,3162,0,0
20,40,1.25,0.3,3,1.0,0.7905634758995248,11645,12960.0,3.180040733197556,3.180040733197556,0.0,14730,14730,14730,0,0,3085,0,0
20,40,1.25,0.3,4,1.0,0.8069074865572866,11705,12960.0,3.1743416517303187,3.1743416517303187,0.0,14506,14506,14506,0,0,2801,0,0
20,40,1.25,0.3,5,1.0,0.7979274611398963,11704,12960.0,3.1304199618216524,3.1304199618216524,0.0,14668,14668,14668,0,0,2964,0,0
20,40,1.25,0.3,6,1.0,0.8101607984474632,11689,12960.0,2.9802467424452455,2.9802467424452455,0.0,14428,14428,14428,0,0,2739,0,0
20,40,1.25,0.3,7,1.0,0.8052225437508612,11687,12960.0,3.169836020394102,3.169836020394102,0.0,14514,14514,14514,0,0,2827,0,0
20,40,1.25,0.3,8,1.0,0.802688728024819,11643,12960.0,3.1387107893829715,3.1387107893829715,0.0,14505,14505,14505,0,0,2862,0,0
20,40,1.25,0.3,9,1.0,0.7934131736526946,11660,12960.0,3.27742242787153,3.27742242787153,0.0,14696,14696,14696,0,0,3036,0,0
20,40,1.25,0.3,10,1.0,0.8056167400881057,11704,12960.0,3.18619218061674,3.18619218061674,0.0,14528,14528,14528,0,0,2824,0,0
20,40,1.25,0.3,11,1.0,0.8123915909248595,11709,12960.0,3.033372649691251,3.033372649691251,0.0,14413,14413,14413,0,0,2704,0,0
20,40,1.25,0.3,12,1.0,0.8072098152743314,11711,12957.0,3.095533498759305,3.095533498759305,0.0,14508,14508,14508,0,0,2797,0,0
20,40,1.25,0.3,13,1.0,0.802236246398683,11695,12960.0,3.140965838935382,3.140965838935382,0.0,14578,14578,14578,0,0,2883,0,0
20,40,1.25,0.3,14,1.0,0.7977773232426536,11701,12960.0,3.16097361423604,3.16097361423604,0.0,14667,14667,14667,0,0,2966,0,0
20,40,1.25,0.3,15,1.0,0.7959183673469388,11700,12960.0,3.1933333333333334,3.1933333333333334,0.0,14700,14700,14700,0,0,3000,0,0
20,40,1.25,0.3,16,1.0,0.7964770942855193,11666,12960.0,3.2989690721649483,3.2989690721649483,0.0,14647,14647,14647,0,0,2981,0,0
20,40,1.25,0.3,17,1.0,0.8117230363219669,11688,12960.0,2.9996527536634487,2.9996527536634487,0.0,14399,14399,14399,0,0,2711,0,0
20,40,1.25,0.3,18,1.0,0.8076020971302428,11707,12960.0,2.9528835540838854,2.9528835540838854,0.0,14496,14496,14496,0,0,2789,0,0
20,40,1.25,0.3,19,1.0,0.8011792129439188,11686,12957.0,3.1772932949403536,3.1772932949403536,0.0,14586,14586,14586,0,0,2900,0,0
20,40,1.25,0.3,20,1.0,0.7983210483210483,11697,12959.0,3.216147966147966,3.216147966147966,0.0,14652,14652,14652,0,0,2955,0,0
20,40,1.25,0.3,21,1.0,0.8074074074074075,11663,12960.0,3.1396330910349604,3.1396330910349604,0.0,14445,14445,14445,0,0,2782,0,0
20,40,1.25,0.3,22,1.0,0.7973147958835958,11699,12959.0,3.170858038574252,3.170858038574252,0.0,14673,14673,14673,0,0,2974,0,0
20,40,1.25,0.3,23,1.0,0.7979151052667439,11711,12960.0,3.2260679975471827,3.2260679975471827,0.0,14677,14677,14677,0,0,2966,0,0
20,40,1.25,0.3,24,1.0,0.8053580059379962,11664,12960.0,3.0327970724297453,3.0327970724297453,0.0,14483,14483,14483,0,0,2819,0,0
20,40,1.25,0.3,25,1.0,0.8019127562955828,11655,12959.0,3.1290078436768956,3.1290078436768956,0.0,14534,14534,14534,0,0,2879,0,0
20,40,1.25,0.3,26,1.0,0.7958795131570001,11705,12960.0,3.1402733392262188,3.1402733392262188,0.0,14707,14707,14707,0,0,3002,0,0
20,40,1.25,0.3,27,1.0,0.8116103048399417,11688,12960.0,3.0448579959725017,3.0448579959725017,0.0,14401,14401,14401,0,0,2713,0,0
20,40,1.25,0.3,28,1.0,0.8007938137275029,11702,12960.0,3.2253472935057825,3.2253472935057825,0.0,14613,14613,14613,0,0,2911,0,0
20,40,1.25,0.3,29,1.0,0.7895446880269814,11705,12958.0,3.215514333895447,3.215514333895447,0.0,14825,14825,14825,0,0,3120,0,0
20,40,1.25,0.3,30,1.0,0.8043732379839098,11698,12957.0,3.1735542872859797,3.1735542872859797,0.0,14543,14543,14543,0,0,2845,0,0
20,40,1.25,0.4,1,1.0,0.7908284224073697,11675,12960.0,3.2074104179367335,3.2074104179367335,0.0,14763,14763,14763,0,0,3088,0,0
20,40,1.25,0.4,2,1.0,0.7870133369257712,11684,12960.0,3.280749023305941,3.280749023305941,0.0,14846,14846,14846,0,0,3162,0,0
20,40,1.25,0.4,3,1.0,0.7905634758995248,11645,12960.0,3.180040733197556,3.180040733197556,0.0,14730,14730,14730,0,0,3085,0,0
20,40,1.25,0.4,4,1.0,0.8069074865572866,11705,12960.0,3.1743416517303187,3.1743416517303187,0.0,14506,14506,14506,0,0,2801,0,0
20,40,1.25,0.4,5,1.0,0.7979274611398963,11704,12960.0,3.1304199618216524,3.1304199618216524,0.0,14668,14668,14668,0,0,2964,0,0
20,40,1.25,0.4,6,1.0,0.8101607984474632,11689,12960.0,2.9802467424452455,2.9802467424452455,0.0,14428,14428,14428,0,0,2739,0,0
20,40,1.25,0.4,7,1.0,0.8052225437508612,11687,12960.0,3.169836020394102,3.169836020394102,0.0,14514,14514,14514,0,0,2827,0,0
20,40,1.25,0.4,8,1.0,0.802688728024819,11643,12960.0,3.1387107893829715,3.1387107893829715,0.0,14505,14505,14505,0,0,2862,0,0
20,40,1.25,0.4,9,1.0,0.7934131736526946,11660,12960.0,3.27742242787153,3.27742242787153,0.0,14696,14696,14696,0,0,3036,0,0
20,40,1.25,0.4,10,1.0,0.8056167400881057,11704,12960.0,3.18619218061674,3.18619218061674,0.0,14528,14528,14528,0,0,2824,0,0
20,40,1.25,0.4,11,1.0,0.8123915909248595,11709,12960.0,3.033372649691251,3.033372649691251,0.0,14413,14413,14413,0,0,2704,0,0
20,40,1.25,0.4,12,1.0,0.8072098152743314,11711,12957.0,3.095533498759305,3.095533498759305,0.0,14508,14508,14508,0,0,2797,0,0
20,40,1.25,0.4,13,1.0,0.802236246398683,11695,12960.0,3.140965838935382,3.140965838935382,0.0,14578,14578,14578,0,0,2883,0,0
20,40,1.25,0.4,14,1.0,0.7977773232426536,11701,12960.0,3.16097361423604,3.16097361423604,0.0,14667,14667,14667,0,0,2966,0,0
20,40,1.25,0.4,15,1.0,0.7959183673469388,11700,12960.0,3.1933333333333334,3.1933333333333334,0.0,14700,14700,14700,0,0,3000,0,0
20,40,1.25,0.4,16,1.0,0.7964770942855193,11666,12960.0,3.2989690721649483,3.2989690721649483,0.0,14647,14647,14647,0,0,2981,0,0
20,40,1.25,0.4,17,1.0,0.8117230363219669,11688,12960.0,2.9996527536634487,2.9996527536634487,0.0,14399,14399,14399,0,0,2711,0,0
20,40,1.25,0.4,18,1.0,0.8076020971302428,11707,12960.0,2.9528835540838854,2.9528835540838854,0.0,14496,14496,14496,0,0,2789,0,0
20,40,1.25,0.4,19,1.0,0.8011792129439188,11686,12957.0,3.1772932949403536,3.1772932949403536,0.0,14586,14586,14586,0,0,2900,0,0
20,40,1.25,0.4,20,1.0,0.7983210483210483,11697,12959.0,3.216147966147966,3.216147966147966,0.0,14652,14652,14652,0,0,2955,0,0
20,40,1.25,0.4,21,1.0,0.8074074074074075,11663,12960.0,3.1396330910349604,3.1396330910349604,0.0,14445,14445,14445,0,0,2782,0,0
20,40,1.25,0.4,22,1.0,0.7973147958835958,11699,12959.0,3.170858038574252,3.170858038574252,0.0,14673,14673,14673,0,0,2974,0,0
20,40,1.25,0.4,23,1.0,0.7979151052667439,11711,12960.0,3.2260679975471827,3.2260679975471827,0.0,14677,14677,14677,0,0,2966,0,0
20,40,1.25,0.4,24,1.0,0.8053580059379962,11664,12960.0,3.0327970724297453,3.0327970724297453,0.0,14483,14483,14483,0,0,2819,0,0
20,40,1.25,0.4,25,1.0,0.8019127562955828,11655,12959.0,3.1290078436768956,3.1290078436768956,0.0,14534,14534,14534,0,0,2879,0,0
20,40,1.25,0.4,26,1.0,0.7958795131570001,11705,12960.0,3.1402733392262188,3.1402733392262188,0.0,14707,14707,14707,0,0,3002,0,0
20,40,1.25,0.4,27,1.0,0.8116103048399417,11688,12960.0,3.0448579959725017,3.0448579959725017,0.0,14401,14401,14401,0,0,2713,0,0
20,40,1.25,0.4,28,1.0,0.8007938137275029,11702,12960.0,3.2253472935057825,3.2253472935057825,0.0,14613,14613,14613,0,0,2911,0,0
20,40,1.25,0.4,29,1.0,0.7895446880269814,11705,12958.0,3.215514333895447,3.215514333895447,0.0,14825,14825,14825,0,0,3120,0,0
20,40,1.25,0.4,30,1.0,0.8043732379839098,11698,12957.0,3.1735542872859797,3.1735542872859797,0.0,14543,14543,14543,0,0,2845,0,0
20,40,1.25,0.5,1,1.0,0.7908284224073697,11675,12960.0,3.2074104179367335,3.2074104179367335,0.0,14763,14763,14763,0,0,3088,0,0
20,40,1.25,0.5,2,1.0,0.7870133369257712,11684,12960.0,3.280749023305941,3.280749023305941,0.0,14846,14846,14846,0,0,3162,0,0
20,40,1.25,0.5,3,1.0,0.7905634758995248,11645,12960.0,3.180040733197556,3.180040733197556,0.0,14730,14730,14730,0,0,3085,0,0
20,40,1.25,0.5,4,1.0,0.8069074865572866,11705,12960.0,3.1743416517303187,3.1743416517303187,0.0,14506,14506,14506,0,0,2801,0,0
20,40,1.25,0.5,5,1.0,0.7979274611398963,11704,12960.0,3.1304199618216524,3.1304199618216524,0.0,14668,14668,14668,0,0,2964,0,0
20,40,1.25,0.5,6,1.0,0.8101607984474632,11689,12960.0,2.9802467424452455,2.9802467424452455,0.0,14428,14428,14428,0,0,2739,0,0
20,40,1.25,0.5,7,1.0,0.8052225437508612,11687,12960.0,3.169836020394102,3.169836020394102,0.0,14514,14514,14514,0,0,2827,0,0
20,40,1.25,0.5,8,1.0,0.802688728024819,11643,12960.0,3.1387107893829715,3.1387107893829715,0.0,14505,14505,14505,0,0,2862,0,0
20,40,1.25,0.5,9,1.0,0.7934131736526946,11660,12960.0,3.27742242787153,3.27742242787153,0.0,14696,14696,14696,0,0,3036,0,0
20,40,1.25,0.5,10,1.0,0.8056167400881057,11704,12960.0,3.18619218061674,3.18619218061674,0.0,14528,14528,14528,0,0,2824,0,0
20,40,1.25,0.5,11,1.0,0.8123915909248595,11709,12960.0,3.033372649691251,3.033372649691251,0.0,14413,14413,14413,0,0,2704,0,0
20,40,1.25,0.5,12,1.0,0.8072098152743314,11711,12957.0,3.095533498759305,3.095533498759305,0.0,14508,14508,14508,0,0,2797,0,0
20,40,1.25,0.5,13,1.0,0.802236246398683,11695,12960.0,3.140965838935382,3.140965838935382,0.0,14578,14578,14578,0,0,2883,0,0
20,40,1.25,0.5,14,1.0,0.7977773232426536,11701,12960.0,3.16097361423604,3.16097361423604,0.0,14667,14667,14667,0,0,2966,0,0
20,40,1.25,0.5,15,1.0,0.7959183673469388,11700,12960.0,3.1933333333333334,3.1933333333333334,0.0,14700,14700,14700,0,0,3000,0,0
20,40,1.25,0.5,16,1.0,0.7964770942855193,11666,12960.0,3.2989690721649483,3.2989690721649483,0.0,14647,14647,14647,0,0,2981,0,0
20,40,1.25,0.5,17,1.0,0.8117230363219669,11688,12960.0,2.9996527536634487,2.9996527536634487,0.0,14399,14399,14399,0,0,2711,0,0
20,40,1.25,0.5,18,1.0,0.8076020971302428,11707,12960.0,2.9528835540838854,2.9528835540838854,0.0,14496,14496,14496,0,0,2789,0,0
20,40,1.25,0.5,19,1.0,0.8011792129439188,11686,12957.0,3.1772932949403536,3.1772932949403536,0.0,14586,14586,14586,0,0,2900,0,0
20,40,1.25,0.5,20,1.0,0.7983210483210483,11697,12959.0,3.216147966147966,3.216147966147966,0.0,14652,14652,14652,0,0,2955,0,0
20,40,1.25,0.5,21,1.0,0.8074074074074075,11663,12960.0,3.1396330910349604,3.1396330910349604,0.0,14445,14445,14445,0,0,2782,0,0
20,40,1.25,0.5,22,1.0,0.7973147958835958,11699,12959.0,3.170858038574252,3.170858038574252,0.0,14673,14673,14673,0,0,2974,0,0
20,40,1.25,0.5,23,1.0,0.7979151052667439,11711,12960.0,3.2260679975471827,3.2260679975471827,0.0,14677,14677,14677,0,0,2966,0,0
20,40,1.25,0.5,24,1.0,0.8053580059379962,11664,12960.0,3.0327970724297453,3.0327970724297453,0.0,14483,14483,14483,0,0,2819,0,0
20,40,1.25,0.5,25,1.0,0.8019127562955828,11655,12959.0,3.1290078436768956,3.1290078436768956,0.0,14534,14534,14534,0,0,2879,0,0
20,40,1.25,0.5,26,1.0,0.7958795131570001,11705,12960.0,3.1402733392262188,3.1402733392262188,0.0,14707,14707,14707,0,0,3002,0,0
20,40,1.25,0.5,27,1.0,0.8116103048399417,11688,12960.0,3.0448579959725017,3.0448579959725017,0.0,14401,14401,14401,0,0,2713,0,0
20,40,1.25,0.5,28,1.0,0.8007938137275029,11702,12960.0,3.2253472935057825,3.2253472935057825,0.0,14613,14613,14613,0,0,2911,0,0
20,40,1.25,0.5,29,1.0,0.7895446880269814,11705,12958.0,3.215514333895447,3.215514333895447,0.0,14825,14825,14825,0,0,3120,0,0
20,40,1.25,0.5,30,1.0,0.8043732379839098,11698,12957.0,3.1735542872859797,3.1735542872859797,0.0,14543,14543,14543,0,0,2845,0,0
