Q,weighted utilization U(Q),weighted offered waiting time T(Q),Class 1 offered delay,Class 2 offered delay,served-rate flag
0,1.140625,5.419327076599282,5.420387187309788,5.417746496996356,no
4,1.1410017123287672,5.416082993456576,5.404223823863045,5.434055205853594,no
8,1.142054794520548,5.409452500893094,5.371112650554835,5.467539326510287,no
12,1.144777397260274,5.394883923626186,5.297898984060231,5.541814214498086,no
16,1.1762842465753425,5.352202351502965,4.7640364791065135,6.2414345946406025,yes
20,1.2600770547945206,4.85711270231649,3.014408218082071,7.622842818110007,yes
24,1.3340239726027396,4.53513015886817,1.3413450917895893,9.371245424098928,yes
28,1.2668150684931507,2.9380837430017683,0.069881476785393,10.581308854161334,yes
32,1.1716438356164385,0.0087490729978164,0.0087490729978164,,yes
