lambda_total,noshow_scale,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,class_1_served_rate,class_2_served_rate,access_gap
12,1.0,3,0.5382191780821919,0.8978519195612431,3929,4885.0,0.001413094677343382,0.0013711151736745886,0.029707495429616086,4376,4246,4376,130,0,0,317,0,0.9691089108910891,0.8006482982171799,0.16846061267390922
12,1.0,4,0.5358904109589043,0.9110386585933862,3912,4904.0,0.0026372572524574443,0.0025617140195621797,0.02864462040055892,4294,4171,4294,123,0,0,259,0,0.9711576451995259,0.8247305728871243,0.1464270723124016
12,1.0,5,0.5371232876712326,0.9047069681587449,3921,4869.0,0.0,0.0,0.02976465159206276,4334,4205,4334,129,0,0,284,0,0.9716869838773102,0.8096035734226689,0.16208341045464136
12,1.0,6,0.5356164383561642,0.9076137418755803,3910,4885.0,0.0014323227500596801,0.0018570102135561746,0.027623026926648097,4308,4189,4308,119,0,0,279,0,0.974399369830642,0.8117580553985303,0.16264131443211172
12,1.0,7,0.5441095890410962,0.9064354176175262,3972,5002.0,0.0018783752054472881,0.0018256503879507074,0.028069374714742128,4382,4259,4382,123,0,0,287,0,0.9721559268098647,0.8179871520342612,0.15416877477560353
12,1.0,8,0.5568493150684933,0.9079740897922716,4065,5066.0,0.0018475750577367205,0.0020102747375474648,0.03283448737994193,4477,4330,4477,147,0,0,265,0,0.9722846441947566,0.8129496402877698,0.15933500390698674
12,1.0,9,0.5446575342465755,0.9034310384003635,3976,4999.0,0.0014071294559099437,0.0013633265167007499,0.031129288798000455,4401,4264,4401,137,0,0,288,0,0.9718969555035128,0.8080478520935291,0.1638491034099837
12,1.0,10,0.5519178082191779,0.911744738628649,4029,5000.0,0.001389854065323141,0.0015840687938447613,0.02308214528173795,4419,4317,4419,102,0,0,288,0,0.971636642391721,0.825414364640884,0.14622227775083696
12,1.0,11,0.5393150684931506,0.9088180978762697,3937,4884.0,0.0007095553453169347,0.0006925207756232687,0.024007386888273315,4332,4228,4332,104,0,0,291,0,0.9725705329153606,0.8174157303370787,0.15515480257828185
12,1.0,12,0.5482191780821919,0.9015544041450777,4002,4999.0,0.0009280742459396752,0.0009011038522189682,0.029060599234061724,4439,4310,4439,129,0,0,308,0,0.963915547024952,0.8129770992366412,0.15093844778831078
12,1.0,13,0.5426027397260273,0.9051645338208409,3961,4960.0,0.000942507068803016,0.0009140767824497258,0.03016453382084095,4376,4244,4376,132,0,0,283,0,0.9694444444444444,0.8178879310344828,0.15155651340996168
12,1.0,14,0.5306849315068493,0.9104582843713278,3874,4899.0,0.001444043321299639,0.001410105757931845,0.023501762632197415,4255,4155,4255,100,0,0,281,0,0.9720534629404617,0.8253079507278835,0.14674551221257814
12,1.0,15,0.5483561643835612,0.9068871771635705,4003,4968.0,0.0013966480446927375,0.001359311282283643,0.026733121884911646,4414,4296,4414,118,0,0,293,0,0.9664869029275809,0.8217821782178217,0.14470472470975915
12,1.0,16,0.5568493150684933,0.9069611780455153,4065,5071.0,0.0025217790004585052,0.0024542614904060687,0.02677376171352075,4482,4362,4482,120,0,0,297,0,0.9695802849441664,0.8206896551724138,0.1488906297717526
12,1.0,17,0.5350684931506854,0.9073170731707317,3906,4837.0,0.0002402691013935608,0.00023228803716608595,0.03321718931475029,4305,4162,4305,143,0,0,256,0,0.9674732249107497,0.8223094170403588,0.14516380787039096
12,1.0,18,0.5389041095890409,0.9062428011978807,3934,4951.0,0.0,0.0,0.028334485141672427,4341,4218,4341,123,0,0,284,0,0.9652311339391545,0.8237569060773481,0.1414742278618064
12,1.0,19,0.5405479452054792,0.9027682452528025,3946,4905.0,0.0002363507445048452,0.00022878059940517045,0.03202928391672386,4371,4231,4371,140,0,0,285,0,0.96513470681458,0.8175419599350298,0.14759274687955026
12,1.0,20,0.5531506849315068,0.9023463687150838,4038,5000.0,0.0020737327188940094,0.002011173184357542,0.030167597765363128,4475,4340,4475,135,0,0,302,0,0.9687017001545595,0.8113407525172232,0.15736094763733632
12,1.0,21,0.5446575342465757,0.9046643913538112,3976,4957.0,0.001875293014533521,0.0018202502844141069,0.029351535836177476,4395,4266,4395,129,0,0,290,0,0.96801872074883,0.8159475696340798,0.15207115111475022
12,1.0,22,0.5352054794520548,0.9031437817845585,3907,4889.0,0.0028544243577545195,0.0027739251040221915,0.02820157189089228,4326,4204,4326,122,0,0,297,0,0.9679871948779512,0.8144499178981938,0.1535372769797574
12,1.0,23,0.552602739726027,0.9040788883908562,4034,5033.0,0.0009235742322789194,0.0008964589870013447,0.02935903182429404,4462,4331,4462,131,0,0,297,0,0.9709146574818217,0.809626825310979,0.16128783217084275
12,1.0,24,0.547945205479452,0.9029345372460497,4000,4975.0,0.0030176415970287838,0.002934537246049661,0.027539503386004513,4430,4308,4430,122,0,0,308,0,0.9685924777045366,0.8114532685035116,0.15713920920102498
12,1.0,25,0.5458904109589037,0.9021960606746661,3985,4926.0,0.0016332244517032197,0.001584786053882726,0.029658139008376726,4417,4286,4417,131,0,0,301,0,0.9656237929702588,0.812363238512035,0.15326055445822384
12,1.0,26,0.5360273972602737,0.8976829548061482,3913,4923.0,0.0007078810759792355,0.0006882312456985547,0.02775866024317504,4359,4238,4359,121,0,0,325,0,0.9688594783962632,0.7955307262569833,0.1733287521392799
12,1.0,27,0.5306849315068496,0.900511390051139,3874,4820.0,0.000721327242125511,0.0009298000929800093,0.033240353324035334,4302,4159,4302,143,0,0,285,0,0.9679615538646376,0.807202216066482,0.16075933779815554
12,1.0,28,0.5335616438356166,0.9062354583527222,3895,4872.0,0.0002403846153846154,0.00023266635644485808,0.03210795718939041,4298,4160,4298,138,0,0,265,0,0.9681836488119211,0.8214876033057851,0.14669604550613602
12,1.0,29,0.5300000000000002,0.9058768438304846,3869,4807.0,0.0004816955684007707,0.0004682744088035589,0.027862327323811754,4271,4152,4271,119,0,0,283,0,0.9728867623604466,0.810550198525241,0.16233656383520556
12,1.0,30,0.5594520547945203,0.9079590929301912,4084,5070.0,0.00228310502283105,0.0022232103156958646,0.026233881725211204,4498,4380,4498,118,0,0,296,0,0.9709324273310683,0.8177393185505679,0.1531931087805004
12,1.5,1,0.5395890410958901,0.9111727966689799,3939,4908.0,0.0035671819262782403,0.0037011334721258385,0.02729585935692806,4323,4205,4323,118,0,0,266,0,0.9695290858725761,0.829064587973274,0.14046449789930215
12,1.5,2,0.5380821917808221,0.9067405355493998,3928,4903.0,0.0014234875444839859,0.0013850415512465374,0.027008310249307478,4332,4215,4332,117,0,0,287,0,0.9683873549419768,0.8226950354609929,0.14569231948098393
12,1.5,3,0.5382191780821919,0.8978519195612431,3929,4885.0,0.001413094677343382,0.0013711151736745886,0.029707495429616086,4376,4246,4376,130,0,0,317,0,0.9691089108910891,0.8006482982171799,0.16846061267390922
12,1.5,4,0.5358904109589043,0.9110386585933862,3912,4904.0,0.0026372572524574443,0.0025617140195621797,0.02864462040055892,4294,4171,4294,123,0,0,259,0,0.9711576451995259,0.8247305728871243,0.1464270723124016
12,1.5,5,0.5371232876712326,0.9047069681587449,3921,4869.0,0.0,0.0,0.02976465159206276,4334,4205,4334,129,0,0,284,0,0.9716869838773102,0.8096035734226689,0.16208341045464136
12,1.5,6,0.5356164383561642,0.9076137418755803,3910,4885.0,0.0014323227500596801,0.0018570102135561746,0.027623026926648097,4308,4189,4308,119,0,0,279,0,0.974399369830642,0.8117580553985303,0.16264131443211172
12,1.5,7,0.5441095890410962,0.9064354176175262,3972,5002.0,0.0018783752054472881,0.0018256503879507074,0.028069374714742128,4382,4259,4382,123,0,0,287,0,0.9721559268098647,0.8179871520342612,0.15416877477560353
12,1.5,8,0.5568493150684933,0.9079740897922716,4065,5066.0,0.0018475750577367205,0.0020102747375474648,0.03283448737994193,4477,4330,4477,147,0,0,265,0,0.9722846441947566,0.8129496402877698,0.15933500390698674
12,1.5,9,0.5446575342465755,0.9034310384003635,3976,4999.0,0.0014071294559099437,0.0013633265167007499,0.031129288798000455,4401,4264,4401,137,0,0,288,0,0.9718969555035128,0.8080478520935291,0.1638491034099837
12,1.5,10,0.5519178082191779,0.911744738628649,4029,5000.0,0.001389854065323141,0.0015840687938447613,0.02308214528173795,4419,4317,4419,102,0,0,288,0,0.971636642391721,0.825414364640884,0.14622227775083696
12,1.5,11,0.5393150684931506,0.9088180978762697,3937,4884.0,0.0007095553453169347,0.0006925207756232687,0.024007386888273315,4332,4228,4332,104,0,0,291,0,0.9725705329153606,0.8174157303370787,0.15515480257828185
12,1.5,12,0.5482191780821919,0.9015544041450777,4002,4999.0,0.0009280742459396752,0.0009011038522189682,0.029060599234061724,4439,4310,4439,129,0,0,308,0,0.963915547024952,0.8129770992366412,0.15093844778831078
12,1.5,13,0.5426027397260273,0.9051645338208409,3961,4960.0,0.000942507068803016,0.0009140767824497258,0.03016453382084095,4376,4244,4376,132,0,0,283,0,0.9694444444444444,0.8178879310344828,0.15155651340996168
12,1.5,14,0.5306849315068493,0.9104582843713278,3874,4899.0,0.001444043321299639,0.001410105757931845,0.023501762632197415,4255,4155,4255,100,0,0,281,0,0.9720534629404617,0.8253079507278835,0.14674551221257814
12,1.5,15,0.5483561643835612,0.9068871771635705,4003,4968.0,0.0013966480446927375,0.001359311282283643,0.026733121884911646,4414,4296,4414,118,0,0,293,0,0.9664869029275809,0.8217821782178217,0.14470472470975915
12,1.5,16,0.5568493150684933,0.9069611780455153,4065,5071.0,0.0025217790004585052,0.0024542614904060687,0.02677376171352075,4482,4362,4482,120,0,0,297,0,0.9695802849441664,0.8206896551724138,0.1488906297717526
12,1.5,17,0.5350684931506854,0.9073170731707317,3906,4837.0,0.0002402691013935608,0.00023228803716608595,0.03321718931475029,4305,4162,4305,143,0,0,256,0,0.9674732249107497,0.8223094170403588,0.14516380787039096
12,1.5,18,0.5389041095890409,0.9062428011978807,3934,4951.0,0.0,0.0,0.028334485141672427,4341,4218,4341,123,0,0,284,0,0.9652311339391545,0.8237569060773481,0.1414742278618064
12,1.5,19,0.5405479452054792,0.9027682452528025,3946,4905.0,0.0002363507445048452,0.00022878059940517045,0.03202928391672386,4371,4231,4371,140,0,0,285,0,0.96513470681458,0.8175419599350298,0.14759274687955026
12,1.5,20,0.5531506849315068,0.9023463687150838,4038,5000.0,0.0020737327188940094,0.002011173184357542,0.030167597765363128,4475,4340,4475,135,0,0,302,0,0.9687017001545595,0.8113407525172232,0.15736094763733632
12,1.5,21,0.5446575342465757,0.9046643913538112,3976,4957.0,0.001875293014533521,0.0018202502844141069,0.029351535836177476,4395,4266,4395,129,0,0,290,0,0.96801872074883,0.8159475696340798,0.15207115111475022
12,1.5,22,0.5352054794520548,0.9031437817845585,3907,4889.0,0.0028544243577545195,0.0027739251040221915,0.02820157189089228,4326,4204,4326,122,0,0,297,0,0.9679871948779512,0.8144499178981938,0.1535372769797574
12,1.5,23,0.552602739726027,0.9040788883908562,4034,5033.0,0.0009235742322789194,0.0008964589870013447,0.02935903182429404,4462,4331,4462,131,0,0,297,0,0.9709146574818217,0.809626825310979,0.16128783217084275
12,1.5,24,0.547945205479452,0.9029345372460497,4000,4975.0,0.0030176415970287838,0.002934537246049661,0.027539503386004513,4430,4308,4430,122,0,0,308,0,0.9685924777045366,0.8114532685035116,0.15713920920102498
12,1.5,25,0.5458904109589037,0.9021960606746661,3985,4926.0,0.0016332244517032197,0.001584786053882726,0.029658139008376726,4417,4286,4417,131,0,0,301,0,0.9656237929702588,0.812363238512035,0.15326055445822384
12,1.5,26,0.5360273972602737,0.8976829548061482,3913,4923.0,0.0007078810759792355,0.0006882312456985547,0.02775866024317504,4359,4238,4359,121,0,0,325,0,0.9688594783962632,0.7955307262569833,0.1733287521392799
12,1.5,27,0.5306849315068496,0.900511390051139,3874,4820.0,0.000721327242125511,0.0009298000929800093,0.033240353324035334,4302,4159,4302,143,0,0,285,0,0.9679615538646376,0.807202216066482,0.16075933779815554
12,1.5,28,0.5335616438356166,0.9062354583527222,3895,4872.0,0.0002403846153846154,0.00023266635644485808,0.03210795718939041,4298,4160,4298,138,0,0,265,0,0.9681836488119211,0.8214876033057851,0.14669604550613602
12,1.5,29,0.5300000000000002,0.9058768438304846,3869,4807.0,0.0004816955684007707,0.0004682744088035589,0.027862327323811754,4271,4152,4271,119,0,0,283,0,0.9728867623604466,0.810550198525241,0.16233656383520556
12,1.5,30,0.5594520547945203,0.9079590929301912,4084,5070.0,0.00228310502283105,0.0022232103156958646,0.026233881725211204,4498,4380,4498,118,0,0,296,0,0.9709324273310683,0.8177393185505679,0.1531931087805004
12,2.0,1,0.5395890410958901,0.9111727966689799,3939,4908.0,0.0035671819262782403,0.0037011334721258385,0.02729585935692806,4323,4205,4323,118,0,0,266,0,0.9695290858725761,0.829064587973274,0.14046449789930215
12,2.0,2,0.5380821917808221,0.9067405355493998,3928,4903.0,0.0014234875444839859,0.0013850415512465374,0.027008310249307478,4332,4215,4332,117,0,0,287,0,0.9683873549419768,0.8226950354609929,0.14569231948098393
12,2.0,3,0.5382191780821919,0.8978519195612431,3929,4885.0,0.001413094677343382,0.0013711151736745886,0.029707495429616086,4376,4246,4376,130,0,0,317,0,0.9691089108910891,0.8006482982171799,0.16846061267390922
12,2.0,4,0.5358904109589043,0.9110386585933862,3912,4904.0,0.0026372572524574443,0.0025617140195621797,0.02864462040055892,4294,4171,4294,123,0,0,259,0,0.9711576451995259,0.8247305728871243,0.1464270723124016
