h1,h2,tau1,tau2,balk_high,class_id,mean,std,n,se,ci95,metric
2,2,9,9,0.7,2,0.3199484548751327,0.002597461546258482,50,0.0003673365346461336,0.0007199796079064219,percent_serviced
2,2,12,12,0.3,1,0.320094939307001,0.0030529207425430186,50,0.0004317481918954477,0.0008462264561150775,percent_serviced
2,2,12,12,0.3,2,0.3199484548751327,0.002597461546258482,50,0.0003673365346461336,0.0007199796079064219,percent_serviced
2,2,12,12,0.5,1,0.320094939307001,0.0030529207425430186,50,0.0004317481918954477,0.0008462264561150775,percent_serviced
2,2,12,12,0.5,2,0.3199484548751327,0.002597461546258482,50,0.0003673365346461336,0.0007199796079064219,percent_serviced
2,2,12,12,0.7,1,0.320094939307001,0.0030529207425430186,50,0.0004317481918954477,0.0008462264561150775,percent_serviced
2,2,12,12,0.7,2,0.3199484548751327,0.002597461546258482,50,0.0003673365346461336,0.0007199796079064219,percent_serviced
2,5,5,9,0.3,1,0.03181203281684801,0.0012249371387273163,50,0.0001732322714642664,0.00033953525206996215,percent_serviced
2,5,5,9,0.3,2,0.6088368958664325,0.005337583614196676,50,0.0007548483137497341,0.0014795026949494788,percent_serviced
2,5,5,9,0.5,1,0.03181203281684801,0.0012249371387273163,50,0.0001732322714642664,0.00033953525206996215,percent_serviced
2,5,5,9,0.5,2,0.6088368958664325,0.005337583614196676,50,0.0007548483137497341,0.0014795026949494788,percent_serviced
2,5,5,9,0.7,1,0.03181203281684801,0.0012249371387273163,50,0.0001732322714642664,0.00033953525206996215,percent_serviced
2,5,5,9,0.7,2,0.6088368958664325,0.005337583614196676,50,0.0007548483137497341,0.0014795026949494788,percent_serviced
2,5,5,12,0.3,1,0.03181203281684801,0.0012249371387273163,50,0.0001732322714642664,0.00033953525206996215,percent_serviced
2,5,5,12,0.3,2,0.6088368958664325,0.005337583614196676,50,0.0007548483137497341,0.0014795026949494788,percent_serviced
2,5,5,12,0.5,1,0.03181203281684801,0.0012249371387273163,50,0.0001732322714642664,0.00033953525206996215,percent_serviced
2,5,5,12,0.5,2,0.6088368958664325,0.005337583614196676,50,0.0007548483137497341,0.0014795026949494788,percent_serviced
2,5,5,12,0.7,1,0.03181203281684801,0.0012249371387273163,50,0.0001732322714642664,0.00033953525206996215,percent_serviced
2,5,5,12,0.7,2,0.6088368958664325,0.005337583614196676,50,0.0007548483137497341,0.0014795026949494788,percent_serviced
2,5,9,5,0.3,1,0.03181203281684801,0.0012249371387273163,50,0.0001732322714642664,0.00033953525206996215,percent_serviced
2,5,9,5,0.3,2,0.6088368958664325,0.005337583614196676,50,0.0007548483137497341,0.0014795026949494788,percent_serviced
2,5,9,5,0.5,1,0.03181203281684801,0.0012249371387273163,50,0.0001732322714642664,0.00033953525206996215,percent_serviced
2,5,9,5,0.5,2,0.6088368958664325,0.005337583614196676,50,0.0007548483137497341,0.0014795026949494788,percent_serviced
2,5,9,5,0.7,1,0.03181203281684801,0.0012249371387273163,50,0.0001732322714642664,0.00033953525206996215,percent_serviced
2,5,9,5,0.7,2,0.6088368958664325,0.005337583614196676,50,0.0007548483137497341,0.0014795026949494788,percent_serviced
2,5,9,9,0.3,1,0.03181203281684801,0.0012249371387273163,50,0.0001732322714642664,0.00033953525206996215,percent_serviced
2,5,9,9,0.3,2,0.6088368958664325,0.005337583614196676,50,0.0007548483137497341,0.0014795026949494788,percent_serviced
2,5,9,9,0.5,1,0.03181203281684801,0.0012249371387273163,50,0.0001732322714642664,0.00033953525206996215,percent_serviced
2,5,9,9,0.5,2,0.6088368958664325,0.005337583614196676,50,0.0007548483137497341,0.0014795026949494788,percent_serviced
2,5,9,9,0.7,1,0.03181203281684801,0.0012249371387273163,50,0.0001732322714642664,0.00033953525206996215,percent_serviced
2,5,9,9,0.7,2,0.6088368958664325,0.005337583614196676,50,0.0007548483137497341,0.0014795026949494788,percent_serviced
2,5,12,12,0.3,1,0.03181203281684801,0.0012249371387273163,50,0.0001732322714642664,0.00033953525206996215,percent_serviced
2,5,12,12,0.3,2,0.6088368958664325,0.005337583614196676,50,0.0007548483137497341,0.0014795026949494788,percent_serviced
2,5,12,12,0.5,1,0.03181203281684801,0.0012249371387273163,50,0.0001732322714642664,0.00033953525206996215,percent_serviced
