h1,h2,tau1,tau2,balk_high,weight_regime,w1,w2,obj_professor_mean,obj_professor_std,obj_pooled_mean,obj_pooled_std,c1_served_rate_mean,c1_served_rate_std,c2_served_rate_mean,c2_served_rate_std,obj_professor_se,obj_professor_ci95,obj_pooled_se,obj_pooled_ci95,c1_served_rate_se,c1_served_rate_ci95,c2_served_rate_se,c2_served_rate_ci95
2.0,2.0,9.0,9.0,0.3,equal,1.0,1.0,0.6400433941821337,0.0029489755904464924,0.32002332217605944,0.0014743448315458802,0.320094939307001,0.0030529207425430186,0.3199484548751327,0.002597461546258482,0.00041704812751166355,0.0008174143299228605,0.000208503845638686,0.00040866753745182456,0.0004317481918954477,0.0008462264561150775,0.0003673365346461336,0.0007199796079064219
2.0,2.0,9.0,9.0,0.3,priority,2.0,1.0,0.9601383334891348,0.005411724097023624,0.32004755192121215,0.001802556218100082,0.320094939307001,0.0030529207425430186,0.3199484548751327,0.002597461546258482,0.00076533336138321,0.0015000533883110915,0.00025491994505770905,0.0004996430923131098,0.0004317481918954477,0.0008462264561150775,0.0003673365346461336,0.0007199796079064219
2.0,2.0,9.0,9.0,0.5,equal,1.0,1.0,0.6400433941821337,0.0029489755904464924,0.32002332217605944,0.0014743448315458802,0.320094939307001,0.0030529207425430186,0.3199484548751327,0.002597461546258482,0.00041704812751166355,0.0008174143299228605,0.000208503845638686,0.00040866753745182456,0.0004317481918954477,0.0008462264561150775,0.0003673365346461336,0.0007199796079064219
2.0,2.0,9.0,9.0,0.5,priority,2.0,1.0,0.9601383334891348,0.005411724097023624,0.32004755192121215,0.001802556218100082,0.320094939307001,0.0030529207425430186,0.3199484548751327,0.002597461546258482,0.00076533336138321,0.0015000533883110915,0.00025491994505770905,0.0004996430923131098,0.0004317481918954477,0.0008462264561150775,0.0003673365346461336,0.0007199796079064219
2.0,2.0,9.0,9.0,0.7,equal,1.0,1.0,0.6400433941821337,0.0029489755904464924,0.32002332217605944,0.0014743448315458802,0.320094939307001,0.0030529207425430186,0.3199484548751327,0.002597461546258482,0.00041704812751166355,0.0008174143299228605,0.000208503845638686,0.00040866753745182456,0.0004317481918954477,0.0008462264561150775,0.0003673365346461336,0.0007199796079064219
2.0,2.0,9.0,9.0,0.7,priority,2.0,1.0,0.9601383334891348,0.005411724097023624,0.32004755192121215,0.001802556218100082,0.320094939307001,0.0030529207425430186,0.3199484548751327,0.002597461546258482,0.00076533336138321,0.0015000533883110915,0.00025491994505770905,0.0004996430923131098,0.0004317481918954477,0.0008462264561150775,0.0003673365346461336,0.0007199796079064219
2.0,2.0,12.0,12.0,0.3,equal,1.0,1.0,0.6400433941821337,0.0029489755904464924,0.32002332217605944,0.0014743448315458802,0.320094939307001,0.0030529207425430186,0.3199484548751327,0.002597461546258482,0.00041704812751166355,0.0008174143299228605,0.000208503845638686,0.00040866753745182456,0.0004317481918954477,0.0008462264561150775,0.0003673365346461336,0.0007199796079064219
2.0,2.0,12.0,12.0,0.3,priority,2.0,1.0,0.9601383334891348,0.005411724097023624,0.32004755192121215,0.001802556218100082,0.320094939307001,0.0030529207425430186,0.3199484548751327,0.002597461546258482,0.00076533336138321,0.0015000533883110915,0.00025491994505770905,0.0004996430923131098,0.0004317481918954477,0.0008462264561150775,0.0003673365346461336,0.0007199796079064219
2.0,2.0,12.0,12.0,0.5,equal,1.0,1.0,0.6400433941821337,0.0029489755904464924,0.32002332217605944,0.0014743448315458802,0.320094939307001,0.0030529207425430186,0.3199484548751327,0.002597461546258482,0.00041704812751166355,0.0008174143299228605,0.000208503845638686,0.00040866753745182456,0.0004317481918954477,0.0008462264561150775,0.0003673365346461336,0.0007199796079064219
2.0,2.0,12.0,12.0,0.5,priority,2.0,1.0,0.9601383334891348,0.005411724097023624,0.32004755192121215,0.001802556218100082,0.320094939307001,0.0030529207425430186,0.3199484548751327,0.002597461546258482,0.00076533336138321,0.0015000533883110915,0.00025491994505770905,0.0004996430923131098,0.0004317481918954477,0.0008462264561150775,0.0003673365346461336,0.0007199796079064219
2.0,2.0,12.0,12.0,0.7,equal,1.0,1.0,0.6400433941821337,0.0029489755904464924,0.32002332217605944,0.0014743448315458802,0.320094939307001,0.0030529207425430186,0.3199484548751327,0.002597461546258482,0.00041704812751166355,0.0008174143299228605,0.000208503845638686,0.00040866753745182456,0.0004317481918954477,0.0008462264561150775,0.0003673365346461336,0.0007199796079064219
2.0,2.0,12.0,12.0,0.7,priority,2.0,1.0,0.9601383334891348,0.005411724097023624,0.32004755192121215,0.001802556218100082,0.320094939307001,0.0030529207425430186,0.3199484548751327,0.002597461546258482,0.00076533336138321,0.0015000533883110915,0.00025491994505770905,0.0004996430923131098,0.0004317481918954477,0.0008462264561150775,0.0003673365346461336,0.0007199796079064219
2.0,5.0,5.0,9.0,0.3,equal,1.0,1.0,0.6406489286832806,0.005126597728758433,0.3201747171541543,0.00175768609994618,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007250104036841281,0.001421020391220891,0.0002485743520938559,0.0004872057301039576,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,5.0,9.0,0.3,priority,2.0,1.0,0.6724609615001286,0.005203378872823713,0.22402323502932187,0.001230398925052124,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007358688972112923,0.001442303038534133,0.00017400468469379912,0.00034104918199984624,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,5.0,9.0,0.5,equal,1.0,1.0,0.6406489286832806,0.005126597728758433,0.3201747171541543,0.00175768609994618,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007250104036841281,0.001421020391220891,0.0002485743520938559,0.0004872057301039576,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,5.0,9.0,0.5,priority,2.0,1.0,0.6724609615001286,0.005203378872823713,0.22402323502932187,0.001230398925052124,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007358688972112923,0.001442303038534133,0.00017400468469379912,0.00034104918199984624,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,5.0,9.0,0.7,equal,1.0,1.0,0.6406489286832806,0.005126597728758433,0.3201747171541543,0.00175768609994618,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007250104036841281,0.001421020391220891,0.0002485743520938559,0.0004872057301039576,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,5.0,9.0,0.7,priority,2.0,1.0,0.6724609615001286,0.005203378872823713,0.22402323502932187,0.001230398925052124,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007358688972112923,0.001442303038534133,0.00017400468469379912,0.00034104918199984624,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,5.0,12.0,0.3,equal,1.0,1.0,0.6406489286832806,0.005126597728758433,0.3201747171541543,0.00175768609994618,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007250104036841281,0.001421020391220891,0.0002485743520938559,0.0004872057301039576,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,5.0,12.0,0.3,priority,2.0,1.0,0.6724609615001286,0.005203378872823713,0.22402323502932187,0.001230398925052124,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007358688972112923,0.001442303038534133,0.00017400468469379912,0.00034104918199984624,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,5.0,12.0,0.5,equal,1.0,1.0,0.6406489286832806,0.005126597728758433,0.3201747171541543,0.00175768609994618,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007250104036841281,0.001421020391220891,0.0002485743520938559,0.0004872057301039576,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,5.0,12.0,0.5,priority,2.0,1.0,0.6724609615001286,0.005203378872823713,0.22402323502932187,0.001230398925052124,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007358688972112923,0.001442303038534133,0.00017400468469379912,0.00034104918199984624,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,5.0,12.0,0.7,equal,1.0,1.0,0.6406489286832806,0.005126597728758433,0.3201747171541543,0.00175768609994618,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007250104036841281,0.001421020391220891,0.0002485743520938559,0.0004872057301039576,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,5.0,12.0,0.7,priority,2.0,1.0,0.6724609615001286,0.005203378872823713,0.22402323502932187,0.001230398925052124,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007358688972112923,0.001442303038534133,0.00017400468469379912,0.00034104918199984624,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,9.0,5.0,0.3,equal,1.0,1.0,0.6406489286832806,0.005126597728758433,0.3201747171541543,0.00175768609994618,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007250104036841281,0.001421020391220891,0.0002485743520938559,0.0004872057301039576,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,9.0,5.0,0.3,priority,2.0,1.0,0.6724609615001286,0.005203378872823713,0.22402323502932187,0.001230398925052124,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007358688972112923,0.001442303038534133,0.00017400468469379912,0.00034104918199984624,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,9.0,5.0,0.5,equal,1.0,1.0,0.6406489286832806,0.005126597728758433,0.3201747171541543,0.00175768609994618,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007250104036841281,0.001421020391220891,0.0002485743520938559,0.0004872057301039576,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,9.0,5.0,0.5,priority,2.0,1.0,0.6724609615001286,0.005203378872823713,0.22402323502932187,0.001230398925052124,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007358688972112923,0.001442303038534133,0.00017400468469379912,0.00034104918199984624,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,9.0,5.0,0.7,equal,1.0,1.0,0.6406489286832806,0.005126597728758433,0.3201747171541543,0.00175768609994618,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007250104036841281,0.001421020391220891,0.0002485743520938559,0.0004872057301039576,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,9.0,5.0,0.7,priority,2.0,1.0,0.6724609615001286,0.005203378872823713,0.22402323502932187,0.001230398925052124,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007358688972112923,0.001442303038534133,0.00017400468469379912,0.00034104918199984624,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
