selection_objective,policy,noshow_level,balk_level,rho,average_utilization,priority_weighted_utilization,class_1_percent_serviced,class_2_percent_serviced,class_1_slot_utilization,class_2_slot_utilization,n_rows
average_utilization,both_flexible,high,low,3.0,0.9500639269406379,0.8043187214611873,0.5332097891387285,0.19121757831748507,0.6585369863013699,0.2915634703196347,10
priority_weighted_utilization,baseline,high,low,3.0,0.9097768036529674,0.6716053881278539,0.2885953562708146,0.3189932022999749,0.4333426484018264,0.4765254794520547,10
priority_weighted_utilization,horizon_only,high,low,3.0,0.9499442922374415,0.712460091324201,0.3169233362721682,0.316782050855699,0.47500420091324197,0.47491178082191776,10
priority_weighted_utilization,reservation_only,high,low,3.0,0.9170058447488578,0.7990785388127855,0.5552734777920819,0.11975150617049715,0.6811702283105022,0.23581662100456618,10
priority_weighted_utilization,both_flexible,high,low,3.0,0.9496272146118707,0.833141095890411,0.5715827807580522,0.11730560623585765,0.7166299543378996,0.23302228310502282,10
average_utilization,baseline,high,medium,1.2,0.9489302283105008,0.7116561643835617,0.7902554977926461,0.7890977423861216,0.47438356164383555,0.474545205479452,10
average_utilization,horizon_only,high,medium,1.2,0.9489033789954323,0.7115640182648402,0.7899122663427257,0.7901676292600889,0.47432785388127846,0.4744723287671232,10
average_utilization,reservation_only,high,medium,1.2,0.9487576255707749,0.7162437442922374,0.8137063978568913,0.7498567815862012,0.48375872146118715,0.46497004566210043,10
average_utilization,both_flexible,high,medium,1.2,0.9487378995433777,0.7166541552511415,0.8100196374020305,0.750129097987504,0.4847148858447488,0.4638785388127854,10
priority_weighted_utilization,baseline,high,medium,1.2,0.9489302283105008,0.7116561643835617,0.7902554977926461,0.7890977423861216,0.47438356164383555,0.474545205479452,10
priority_weighted_utilization,horizon_only,high,medium,1.2,0.9489483105022817,0.7116044748858448,0.7894785291425073,0.7890950816896702,0.47429716894977164,0.47461461187214604,10
priority_weighted_utilization,reservation_only,high,medium,1.2,0.9456432876712315,0.7254415525114155,0.849277150030157,0.6824265449788265,0.5052096803652968,0.44046374429223745,10
priority_weighted_utilization,both_flexible,high,medium,1.2,0.9459353424657522,0.7254992694063926,0.8475081161966692,0.6815566949273617,0.5049881278538813,0.4410222831050228,10
average_utilization,baseline,high,medium,1.4,0.9499599999999987,0.7125923287671233,0.6783234886398681,0.6781945431221205,0.4750805479452055,0.47502356164383563,10
average_utilization,horizon_only,high,medium,1.4,0.9497378995433776,0.7120515068493151,0.6774472605060897,0.6773821751559361,0.47430283105022825,0.4754973515981735,10
average_utilization,reservation_only,high,medium,1.4,0.9497168949771677,0.7392841095890411,0.7736907487277648,0.5220646606714471,0.5288604566210046,0.420847305936073,10
average_utilization,both_flexible,high,medium,1.4,0.9496688584474873,0.740912602739726,0.7795114602839558,0.5424873185127763,0.5321972602739725,0.41743068493150687,10
priority_weighted_utilization,baseline,high,medium,1.4,0.9499599999999987,0.7125923287671233,0.6783234886398681,0.6781945431221205,0.4750805479452055,0.47502356164383563,10
priority_weighted_utilization,horizon_only,high,medium,1.4,0.9496831050228296,0.7122796347031963,0.6782279270956095,0.6772356084903637,0.4748286757990868,0.4749019178082191,10
priority_weighted_utilization,reservation_only,high,medium,1.4,0.9492200913241996,0.7513211872146119,0.8120876678497121,0.47127524545987337,0.553369497716895,0.39590337899543376,10
priority_weighted_utilization,both_flexible,high,medium,1.4,0.9492299543378981,0.7513877625570776,0.8117932075508433,0.471015682747283,0.5534854794520548,0.39580456621004567,10
average_utilization,baseline,high,medium,1.7,0.9414343378995422,0.7041360730593607,0.5488741296733257,0.5581032068181812,0.4667453881278538,0.47478136986301367,10
average_utilization,horizon_only,high,medium,1.7,0.9494885844748845,0.7119980821917808,0.5581641760546983,0.5588111366886509,0.4745207305936073,0.474954703196347,10
average_utilization,reservation_only,high,medium,1.7,0.949330045662099,0.765433789954338,0.7296313504893366,0.3647202237960735,0.5815375342465753,0.3677925114155251,10
average_utilization,both_flexible,high,medium,1.7,0.9498820091324187,0.7594378082191782,0.7116009775859048,0.3875538545008691,0.5689490410958904,0.3809775342465753,10
priority_weighted_utilization,baseline,high,medium,1.7,0.9414343378995422,0.7041360730593607,0.5488741296733257,0.5581032068181812,0.4667453881278538,0.47478136986301367,10
priority_weighted_utilization,horizon_only,high,medium,1.7,0.9497523287671219,0.7123405479452054,0.5592533300083348,0.5589416000441005,0.4749687671232876,0.4747435616438356,10
priority_weighted_utilization,reservation_only,high,medium,1.7,0.9492641095890398,0.7774393607305936,0.7529897908362784,0.3137227170152319,0.6055629223744292,0.3437528767123287,10
priority_weighted_utilization,both_flexible,high,medium,1.7,0.9495861187214597,0.7773056621004566,0.7531761075878192,0.31439074639149855,0.6050423744292237,0.3445265753424657,10
