h1,h2,tau1,tau2,balk_high,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
2,2,9,9,0.3,46,1.0,0.3208262374333901,11680,12960.0,1.0,1.0,0.0,36406,11680,11680,0,24726,0,0,0
2,2,9,9,0.3,47,1.0,0.3187685925602467,11680,12960.0,1.0,1.0,0.0,36641,11680,11680,0,24961,0,0,0
2,2,9,9,0.3,48,1.0,0.31931762261468644,11680,12960.0,1.0,1.0,0.0,36578,11680,11680,0,24898,0,0,0
2,2,9,9,0.3,49,1.0,0.32204698356678063,11680,12960.0,1.0,1.0,0.0,36268,11680,11680,0,24588,0,0,0
2,2,9,9,0.3,50,1.0,0.32074694494027184,11680,12960.0,1.0,1.0,0.0,36415,11680,11680,0,24735,0,0,0
2,2,9,9,0.5,1,1.0,0.31960596524832396,11680,12960.0,1.0,1.0,0.0,36545,11680,11680,0,24865,0,0,0
2,2,9,9,0.5,2,1.0,0.3192303487482235,11680,12960.0,1.0,1.0,0.0,36588,11680,11680,0,24908,0,0,0
2,2,9,9,0.5,3,1.0,0.31954475815276867,11680,12960.0,1.0,1.0,0.0,36552,11680,11680,0,24872,0,0,0
2,2,9,9,0.5,4,1.0,0.31889043601714584,11680,12960.0,1.0,1.0,0.0,36627,11680,11680,0,24947,0,0,0
2,2,9,9,0.5,5,1.0,0.3218694885361552,11680,12960.0,1.0,1.0,0.0,36288,11680,11680,0,24608,0,0,0
2,2,9,9,0.5,6,1.0,0.3231518370960602,11680,12960.0,1.0,1.0,0.0,36144,11680,11680,0,24464,0,0,0
2,2,9,9,0.5,7,1.0,0.3195535005882192,11680,12960.0,1.0,1.0,0.0,36551,11680,11680,0,24871,0,0,0
2,2,9,9,0.5,8,1.0,0.3206588881262869,11680,12960.0,1.0,1.0,0.0,36425,11680,11680,0,24745,0,0,0
2,2,9,9,0.5,9,1.0,0.32040379656553464,11680,12960.0,1.0,1.0,0.0,36454,11680,11680,0,24774,0,0,0
2,2,9,9,0.5,10,1.0,0.319833511322873,11680,12960.0,1.0,1.0,0.0,36519,11680,11680,0,24839,0,0,0
2,2,9,9,0.5,11,1.0,0.32180741148918585,11680,12960.0,1.0,1.0,0.0,36295,11680,11680,0,24615,0,0,0
2,2,9,9,0.5,12,1.0,0.32072932970865253,11680,12960.0,1.0,1.0,0.0,36417,11680,11680,0,24737,0,0,0
2,2,9,9,0.5,13,1.0,0.3205356897829249,11680,12960.0,1.0,1.0,0.0,36439,11680,11680,0,24759,0,0,0
2,2,9,9,0.5,14,1.0,0.31823011742909296,11680,12960.0,1.0,1.0,0.0,36703,11680,11680,0,25023,0,0,0
2,2,9,9,0.5,15,1.0,0.32266084698472336,11680,12960.0,1.0,1.0,0.0,36199,11680,11680,0,24519,0,0,0
2,2,9,9,0.5,16,1.0,0.3169348492660028,11680,12960.0,1.0,1.0,0.0,36853,11680,11680,0,25173,0,0,0
2,2,9,9,0.5,17,1.0,0.3171586064572189,11680,12960.0,1.0,1.0,0.0,36827,11680,11680,0,25147,0,0,0
2,2,9,9,0.5,18,1.0,0.31780583369612536,11680,12960.0,1.0,1.0,0.0,36752,11680,11680,0,25072,0,0,0
2,2,9,9,0.5,19,1.0,0.32231359346542304,11680,12960.0,1.0,1.0,0.0,36238,11680,11680,0,24558,0,0,0
2,2,9,9,0.5,20,1.0,0.31935254552414283,11680,12960.0,1.0,1.0,0.0,36574,11680,11680,0,24894,0,0,0
2,2,9,9,0.5,21,1.0,0.31947483588621445,11680,12960.0,1.0,1.0,0.0,36560,11680,11680,0,24880,0,0,0
2,2,9,9,0.5,22,1.0,0.3210378758726843,11680,12960.0,1.0,1.0,0.0,36382,11680,11680,0,24702,0,0,0
2,2,9,9,0.5,23,1.0,0.3190646597645259,11680,12960.0,1.0,1.0,0.0,36607,11680,11680,0,24927,0,0,0
2,2,9,9,0.5,24,1.0,0.32011401321018446,11680,12960.0,1.0,1.0,0.0,36487,11680,11680,0,24807,0,0,0
2,2,9,9,0.5,25,1.0,0.3223313831548736,11680,12960.0,1.0,1.0,0.0,36236,11680,11680,0,24556,0,0,0
2,2,9,9,0.5,26,1.0,0.32145314435117656,11680,12960.0,1.0,1.0,0.0,36335,11680,11680,0,24655,0,0,0
2,2,9,9,0.5,27,1.0,0.32074694494027184,11680,12960.0,1.0,1.0,0.0,36415,11680,11680,0,24735,0,0,0
2,2,9,9,0.5,28,1.0,0.31730508014126596,11680,12960.0,1.0,1.0,0.0,36810,11680,11680,0,25130,0,0,0
2,2,9,9,0.5,29,1.0,0.3197984831476056,11680,12960.0,1.0,1.0,0.0,36523,11680,11680,0,24843,0,0,0
2,2,9,9,0.5,30,1.0,0.32046533322358495,11680,12960.0,1.0,1.0,0.0,36447,11680,11680,0,24767,0,0,0
2,2,9,9,0.5,31,1.0,0.31894268315993557,11680,12960.0,1.0,1.0,0.0,36621,11680,11680,0,24941,0,0,0
2,2,9,9,0.5,32,1.0,0.3193438140806562,11680,12960.0,1.0,1.0,0.0,36575,11680,11680,0,24895,0,0,0
2,2,9,9,0.5,33,1.0,0.32035985627691377,11680,12960.0,1.0,1.0,0.0,36459,11680,11680,0,24779,0,0,0
2,2,9,9,0.5,34,1.0,0.31930016402405687,11680,12960.0,1.0,1.0,0.0,36580,11680,11680,0,24900,0,0,0
2,2,9,9,0.5,35,1.0,0.32145314435117656,11680,12960.0,1.0,1.0,0.0,36335,11680,11680,0,24655,0,0,0
2,2,9,9,0.5,36,1.0,0.32038621900373054,11680,12960.0,1.0,1.0,0.0,36456,11680,11680,0,24776,0,0,0
2,2,9,9,0.5,37,1.0,0.3213116558003906,11680,12960.0,1.0,1.0,0.0,36351,11680,11680,0,24671,0,0,0
2,2,9,9,0.5,38,1.0,0.3193612774451098,11680,12960.0,1.0,1.0,0.0,36573,11680,11680,0,24893,0,0,0
2,2,9,9,0.5,39,1.0,0.32079099148585555,11680,12960.0,1.0,1.0,0.0,36410,11680,11680,0,24730,0,0,0
2,2,9,9,0.5,40,1.0,0.3200701523621616,11680,12960.0,1.0,1.0,0.0,36492,11680,11680,0,24812,0,0,0
2,2,9,9,0.5,41,1.0,0.3210467002006542,11680,12960.0,1.0,1.0,0.0,36381,11680,11680,0,24701,0,0,0
2,2,9,9,0.5,42,1.0,0.3202895768777251,11680,12960.0,1.0,1.0,0.0,36467,11680,11680,0,24787,0,0,0
2,2,9,9,0.5,43,1.0,0.316574061525952,11680,12960.0,1.0,1.0,0.0,36895,11680,11680,0,25215,0,0,0
2,2,9,9,0.5,44,1.0,0.31966719579615743,11680,12960.0,1.0,1.0,0.0,36538,11680,11680,0,24858,0,0,0
2,2,9,9,0.5,45,1.0,0.31849912739965097,11680,12960.0,1.0,1.0,0.0,36672,11680,11680,0,24992,0,0,0
2,2,9,9,0.5,46,1.0,0.3208262374333901,11680,12960.0,1.0,1.0,0.0,36406,11680,11680,0,24726,0,0,0
2,2,9,9,0.5,47,1.0,0.3187685925602467,11680,12960.0,1.0,1.0,0.0,36641,11680,11680,0,24961,0,0,0
2,2,9,9,0.5,48,1.0,0.31931762261468644,11680,12960.0,1.0,1.0,0.0,36578,11680,11680,0,24898,0,0,0
2,2,9,9,0.5,49,1.0,0.32204698356678063,11680,12960.0,1.0,1.0,0.0,36268,11680,11680,0,24588,0,0,0
2,2,9,9,0.5,50,1.0,0.32074694494027184,11680,12960.0,1.0,1.0,0.0,36415,11680,11680,0,24735,0,0,0
2,2,9,9,0.7,1,1.0,0.31960596524832396,11680,12960.0,1.0,1.0,0.0,36545,11680,11680,0,24865,0,0,0
2,2,9,9,0.7,2,1.0,0.3192303487482235,11680,12960.0,1.0,1.0,0.0,36588,11680,11680,0,24908,0,0,0
2,2,9,9,0.7,3,1.0,0.31954475815276867,11680,12960.0,1.0,1.0,0.0,36552,11680,11680,0,24872,0,0,0
2,2,9,9,0.7,4,1.0,0.31889043601714584,11680,12960.0,1.0,1.0,0.0,36627,11680,11680,0,24947,0,0,0
2,2,9,9,0.7,5,1.0,0.3218694885361552,11680,12960.0,1.0,1.0,0.0,36288,11680,11680,0,24608,0,0,0
2,2,9,9,0.7,6,1.0,0.3231518370960602,11680,12960.0,1.0,1.0,0.0,36144,11680,11680,0,24464,0,0,0
2,2,9,9,0.7,7,1.0,0.3195535005882192,11680,12960.0,1.0,1.0,0.0,36551,11680,11680,0,24871,0,0,0
2,2,9,9,0.7,8,1.0,0.3206588881262869,11680,12960.0,1.0,1.0,0.0,36425,11680,11680,0,24745,0,0,0
2,2,9,9,0.7,9,1.0,0.32040379656553464,11680,12960.0,1.0,1.0,0.0,36454,11680,11680,0,24774,0,0,0
2,2,9,9,0.7,10,1.0,0.319833511322873,11680,12960.0,1.0,1.0,0.0,36519,11680,11680,0,24839,0,0,0
2,2,9,9,0.7,11,1.0,0.32180741148918585,11680,12960.0,1.0,1.0,0.0,36295,11680,11680,0,24615,0,0,0
2,2,9,9,0.7,12,1.0,0.32072932970865253,11680,12960.0,1.0,1.0,0.0,36417,11680,11680,0,24737,0,0,0
2,2,9,9,0.7,13,1.0,0.3205356897829249,11680,12960.0,1.0,1.0,0.0,36439,11680,11680,0,24759,0,0,0
2,2,9,9,0.7,14,1.0,0.31823011742909296,11680,12960.0,1.0,1.0,0.0,36703,11680,11680,0,25023,0,0,0
2,2,9,9,0.7,15,1.0,0.32266084698472336,11680,12960.0,1.0,1.0,0.0,36199,11680,11680,0,24519,0,0,0
2,2,9,9,0.7,16,1.0,0.3169348492660028,11680,12960.0,1.0,1.0,0.0,36853,11680,11680,0,25173,0,0,0
2,2,9,9,0.7,17,1.0,0.3171586064572189,11680,12960.0,1.0,1.0,0.0,36827,11680,11680,0,25147,0,0,0
2,2,9,9,0.7,18,1.0,0.31780583369612536,11680,12960.0,1.0,1.0,0.0,36752,11680,11680,0,25072,0,0,0
